166,1814
166,2240
166,2782
166,3060
166,2200368
166,273
166,439
166,1548
166,1548
166,1579
10196535,10215855
10196535,10698299
10196535,11269436
10196535,11429999
10196535,11552234
10196535,13215406
10196535,14273399
10196535,14420089
10196535,14524145
10196535,14570665
10196535,15247603
10196535,15278341
1557328,10196535
10196535,15858059
10196535,16171946
10196535,16876853
10196535,18658174
10196535,18841902
10196535,19327272
10196535,19545869
10196535,20248157
10196535,20984623
10196535,21465639
10196535,21476462
10196535,22910089
10196535,24529794
10196535,25009887
10196535,25771298
10196535,26663241
10196535,27583753
10196535,27607955
10196535,27741299
10196535,27786331
2945450,10196535
10196535,28309561
10196535,28494929
10196535,28557654
10196535,28607950
10196535,29080426
10196535,29688397
10196535,30412601
10196535,30632871
3203732,10196535
10196535,31241811
10196535,31785949
10196535,32180646
10196535,33319824
10196535,33664126
314761,10196535
10196535,35200074
10196535,35385517
10196535,35431607
10196535,35511516
10196535,35576913
10196535,36024322
5912738,10196535
6333531,10196535
6850439,10196535
6989602,10196535
7077066,10196535
7695340,10196535
7924627,10196535
9098501,10196535
9233840,10196535
9297425,10196535
9713013,10196535
9734625,10196535
9851889,10196535
10215855,10698299
10215855,11269436
10215855,11429999
10215855,11552234
10215855,13215406
10215855,14273399
10215855,14420089
10215855,14524145
10215855,14570665
10215855,15247603
10215855,15278341
1557328,10215855
10215855,15858059
10215855,16171946
10215855,16876853
10215855,18658174
10215855,18841902
10215855,19327272
10215855,19545869
10215855,20248157
10215855,20984623
10215855,21465639
10215855,21476462
10215855,22910089
10215855,24529794
10215855,25009887
10215855,25771298
10215855,26663241
10215855,27583753
10215855,27607955
10215855,27741299
10215855,27786331
2945450,10215855
10215855,28309561
10215855,28494929
10215855,28557654
10215855,28607950
10215855,29080426
10215855,29688397
10215855,30412601
10215855,30632871
3203732,10215855
10215855,31241811
10215855,31785949
10215855,32180646
10215855,33319824
10215855,33664126
314761,10215855
10215855,35200074
10215855,35385517
10215855,35431607
10215855,35511516
10215855,35576913
10215855,36024322
5912738,10215855
6333531,10215855
6850439,10215855
6989602,10215855
7077066,10215855
7695340,10215855
7924627,10215855
9098501,10215855
9233840,10215855
9297425,10215855
9713013,10215855
9734625,10215855
9851889,10215855
7474409,10390579
7474409,10653088
7474409,12377195
7474409,12670688
7474409,12670688
7474409,12670688
7474409,12670688
7474409,12670688
7474409,12670688
7474409,12670688
2769140,7474409
7474409,12670688
387979,7474409
5975943,7474409
6236088,7474409
6279017,7474409
6539903,7474409
1419319,2109092
495168,2109092
2109092,3311986
680363,2109092
4084,2109092
1347819,2109092
2109092,2826499
59157,2109092
64958,2109092
2109092,2187137
2109092,4840920
245576,2109092
2109092,3821596
2109092,2526978
2109092,5413745
79439,2109092
82163,2109092
2109092,6190465
2109092,7498043
98520,2109092
116706,2109092
125981,2109092
2109092,2575581
